PotentialCustomerID,sale,sale_amount,region,age,marketing_exposure,activity,income,num_accounts,UrbanRural,current_customer
1040699,Yes,766.25,10,66,5,Med,30462,0,Urban,No
1004999,Yes,149.13,12,62,3,Med,22186,1,Urban,Yes
1068740,Yes,1015.12,30,86,4,Med,85937,3,Urban,Yes
1098821,Yes,914.92,30,39,4,High,85227,0,Urban,No
1092469,No,0.0,1,49,4,Low,28949,0,Urban,No
1000009,No,0.0,30,38,3,Med,108620,2,Urban,Yes
1000429,Yes,1133.78,30,47,5,Med,74165,1,Urban,Yes
1095105,No,0.0,13,85,0,Low,3726,0,Urban,No
1074980,Yes,340.23,24,39,4,Med,41790,1,Urban,Yes
1092335,Yes,1202.54,28,80,6,Med,14699,1,Urban,Yes
1033764,Yes,572.18,5,26,2,Low,15109,2,Urban,Yes
1024072,Yes,1310.63,29,80,3,Low,92193,0,Urban,No
1083416,Yes,639.42,11,73,4,Med,37846,0,Urban,No
1025293,Yes,658.78,16,63,2,Low,98564,1,Urban,Yes
1098849,Yes,247.54,23,82,0,High,48637,0,Urban,No
1009630,No,0.0,17,39,2,Low,8763,2,Urban,Yes
1049919,Yes,264.77,10,26,0,High,80901,0,Urban,No
1078405,Yes,305.49,25,43,3,High,103947,0,Urban,No
1010842,Yes,852.4,17,69,4,Med,82226,0,Urban,No
1009636,No,0.0,14,48,1,Med,1483,0,Urban,No
1048813,Yes,455.23,1,35,4,Med,3353,0,Urban,No
1007497,Yes,602.47,1,66,5,Low,61112,2,Urban,Yes
1008190,No,0.0,3,49,2,Low,150564,0,Urban,No
1059487,Yes,213.62,12,62,1,Med,31299,0,Urban,No
1048631,No,0.0,14,63,4,Med,51755,0,Urban,No
1023423,No,0.0,18,30,5,Med,38927,0,Rural,No
1083059,Yes,351.56,19,78,2,Med,120330,1,Urban,Yes
1073291,Yes,1088.36,13,81,2,Low,23498,1,Urban,Yes
1018082,No,0.0,6,83,3,Low,47551,0,Urban,No
1039743,No,0.0,30,53,2,High,101283,0,Urban,No
